Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.53      0.94     0.01   369764     0.00     0.00  ImVec2::ImVec2(float, float)
  0.53      0.94     0.01     1919     0.00     0.00  Module::getUniqueName[abi:cxx11]() const
  0.53      0.94     0.01      134     0.04     0.04  ImVec2::ImVec2()
  0.53      0.95     0.01        4     1.25     1.25  void std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > >::_M_realloc_insert<std::shared_ptr<Module> const&>(__gnu_cxx::__normal_iterator<std::shared_ptr<Module>*, std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > > >, std::shared_ptr<Module> const&)
  0.00      0.95     0.00  8435979     0.00     0.00  std::__shared_ptr_access<Signal, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.95     0.00  8435839     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<Module>*, std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > > >::operator++()
  0.00      0.95     0.00  4220420     0.00     0.00  std::unique_ptr<IBaseOsc, std::default_delete<IBaseOsc> >::get() const
  0.00      0.95     0.00  4219891     0.00     0.00  std::_Head_base<0ul, IBaseOsc*, false>::_M_head(std::_Head_base<0ul, IBaseOsc*, false> const&)
  0.00      0.95     0.00  4216864     0.00     0.00  float gam::scl::wrap<float>(float, float, float)
  0.00      0.95     0.00  4216706     0.00     0.00  gam::Sine<float, gam::DomainObserver>::operator()(float)
  0.00      0.95     0.00  1054582     0.00     0.00  std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > >::begin()
  0.00      0.95     0.00  1054289     0.00     0.00  std::vector<std::shared_ptr<Module>, std::allocator<std::shared_ptr<Module> > >::end()
  0.00      0.95     0.00   174263     0.00     0.00  ImSaturate(float)
  0.00      0.95     0.00   109523     0.00     0.00  ImFont::FindGlyph(unsigned short) const
  0.00      0.95     0.00    98110     0.00     0.00  float ImMax<float>(float, float)
  0.00      0.95     0.00    44842     0.00     0.00  ImGui::GetColorU32(int, float)
  0.00      0.95     0.00    40111     0.00     0.00  ImGui::ColorConvertFloat4ToU32(ImVec4 const&)
  0.00      0.95     0.00    39689     0.00     0.00  ImVector<unsigned short>::resize(int)
  0.00      0.95     0.00    39322     0.00     0.00  ImVector<ImDrawVert>::resize(int)
  0.00      0.95     0.00    37328     0.00     0.00  ImDrawList::PrimReserve(int, int)
  0.00      0.95     0.00    36844     0.00     0.00  ImRect::ImRect(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00    35989     0.00     0.00  gam::gen::RAdd<float>::operator()() const
  0.00      0.95     0.00    35905     0.00     0.00  gam::iplSeq::Linear<float>::operator()(float) const
  0.00      0.95     0.00    35887     0.00     0.00  float gam::ipl::linear<float, float>(float, float const&, float const&)
  0.00      0.95     0.00    26000     0.00     0.00  ImVec2::operator[](unsigned long)
  0.00      0.95     0.00    23055     0.00     0.00  ImGui::FindRenderedTextEnd(char const*, char const*)
  0.00      0.95     0.00    22234     0.00     0.00  ImVector<ImVec2>::push_back(ImVec2 const&)
  0.00      0.95     0.00    21740     0.00     0.00  ImGui::GetCurrentWindow()
  0.00      0.95     0.00    21207     0.00     0.00  ImDrawList::PathLineTo(ImVec2 const&)
  0.00      0.95     0.00    21108     0.00     0.00  ImRsqrt(float)
  0.00      0.95     0.00    20865     0.00     0.00  operator+(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00    20048     0.00     0.00  operator+(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00    19891     0.00     0.00  ImRect::ImRect(float, float, float, float)
  0.00      0.95     0.00    19717     0.00     0.00  ImMax(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00    19422     0.00     0.00  ImTrunc(float)
  0.00      0.95     0.00    19166     0.00     0.00  ImGuiWindow::CalcFontSize() const
  0.00      0.95     0.00    19121     0.00     0.00  ImVector<ImDrawCmd>::operator[](int)
  0.00      0.95     0.00    18437     0.00     0.00  operator+(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00    17823     0.00     0.00  ImDrawList::AddRectFilled(ImVec2 const&, ImVec2 const&, unsigned int, float, int)
  0.00      0.95     0.00    17686     0.00     0.00  ImDrawList::PrimRect(ImVec2 const&, ImVec2 const&, unsigned int)
  0.00      0.95     0.00    16070     0.00     0.00  ImVec2::operator[](unsigned long) const
  0.00      0.95     0.00    15771     0.00     0.00  ImGui::CalcTextSize(char const*, char const*, bool, float)
  0.00      0.95     0.00    15226     0.00     0.00  ImHashStr(char const*, unsigned long, unsigned int)
  0.00      0.95     0.00    15222     0.00     0.00  ImRect::ContainsWithPad(ImVec2 const&, ImVec2 const&) const
  0.00      0.95     0.00    15062     0.00     0.00  ImFont::CalcTextSizeA(float, float, float, char const*, char const*, char const**) const
  0.00      0.95     0.00    14608     0.00     0.00  ImGuiWindow::TitleBarHeight() const
  0.00      0.95     0.00    14402     0.00     0.00  ImDrawList::AddText(ImFont const*, float, ImVec2 const&, unsigned int, char const*, char const*, float, ImVec4 const*)
  0.00      0.95     0.00    13427     0.00     0.00  operator*(ImVec2 const&, float)
  0.00      0.95     0.00    13361     0.00     0.00  ImGui::IsMouseHoveringRect(ImVec2 const&, ImVec2 const&, bool)
  0.00      0.95     0.00    13339     0.00     0.00  ImRect::ClipWith(ImRect const&)
  0.00      0.95     0.00    12771     0.00     0.00  ImMin(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00    11980     0.00     0.00  Decode85Byte(char)
  0.00      0.95     0.00    11834     0.00     0.00  stbtt__add_point(stbtt__point*, int, float, float)
  0.00      0.95     0.00    11759     0.00     0.00  stbrp__skyline_find_min_y(stbrp_context*, stbrp_node*, int, int, int*)
  0.00      0.95     0.00    11755     0.00     0.00  ImVector<unsigned int>::back()
  0.00      0.95     0.00    11406     0.00     0.00  ImGui::ItemHoverable(ImRect const&, unsigned int, int)
  0.00      0.95     0.00    11266     0.00     0.00  ImGui::ItemAdd(ImRect const&, unsigned int, ImRect const*, int)
  0.00      0.95     0.00    11231     0.00     0.00  ImRect::Overlaps(ImRect const&) const
  0.00      0.95     0.00    11074     0.00     0.00  float ImMax<float>(float, float)
  0.00      0.95     0.00    10974     0.00     0.00  ImGui::KeepAliveID(unsigned int)
  0.00      0.95     0.00    10269     0.00     0.00  ImGuiWindow::GetID(char const*, char const*)
  0.00      0.95     0.00    10148     0.00     0.00  ImRect::GetSize() const
  0.00      0.95     0.00     8735     0.00     0.00  ImGui::RenderTextClippedEx(ImDrawList*, ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*)
  0.00      0.95     0.00     8649     0.00     0.00  ImRect::ImRect(ImVec4 const&)
  0.00      0.95     0.00     8399     0.00     0.00  ttUSHORT(unsigned char*)
  0.00      0.95     0.00     8377     0.00     0.00  ImGuiWindow::MenuBarHeight() const
  0.00      0.95     0.00     8261     0.00     0.00  ImRect::ImRect()
  0.00      0.95     0.00     8137     0.00     0.00  ImVector<ImGuiWindowStackData>::back()
  0.00      0.95     0.00     8059     0.00     0.00  ImClamp(ImVec2 const&, ImVec2 const&, ImVec2)
  0.00      0.95     0.00     7947     0.00     0.00  ImGui::RenderNavHighlight(ImRect const&, unsigned int, int)
  0.00      0.95     0.00     7753     0.00     0.00  ImGui::RenderTextClipped(ImVec2 const&, ImVec2 const&, char const*, char const*, ImVec2 const*, ImVec2 const&, ImRect const*)
  0.00      0.95     0.00     7652     0.00     0.00  ImGui::ItemSize(ImRect const&, float)
  0.00      0.95     0.00     7593     0.00     0.00  ImGui::ItemSize(ImVec2 const&, float)
  0.00      0.95     0.00     7355     0.00     0.00  ImGui::ButtonBehavior(ImRect const&, unsigned int, bool*, bool*, int)
  0.00      0.95     0.00     7174     0.00     0.00  operator*(ImVec2 const&, float)
  0.00      0.95     0.00     7131     0.00     0.00  ImGui::CalcItemWidth()
  0.00      0.95     0.00     7088     0.00     0.00  operator-(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00     6814     0.00     0.00  ImVector<ImGuiViewportP*>::operator[](int)
  0.00      0.95     0.00     6675     0.00     0.00  ImVector<ImDrawCmd>::push_back(ImDrawCmd const&)
  0.00      0.95     0.00     6576     0.00     0.00  ImVec4::ImVec4()
  0.00      0.95     0.00     6438     0.00     0.00  ImDrawCmd::ImDrawCmd()
  0.00      0.95     0.00     6409     0.00     0.00  ImVector<ImVec2>::reserve_discard(int)
  0.00      0.95     0.00     6403     0.00     0.00  float ImMin<float>(float, float)
  0.00      0.95     0.00     6395     0.00     0.00  stbtt__handle_clipped_edge(float*, int, stbtt__active_edge*, float, float, float, float)
  0.00      0.95     0.00     6380     0.00     0.00  ImVec4::ImVec4(float, float, float, float)
  0.00      0.95     0.00     6347     0.00     0.00  ImVector<ImVec4>::back()
  0.00      0.95     0.00     6225     0.00     0.00  ImDrawList::_OnChangedClipRect()
  0.00      0.95     0.00     6051     0.00     0.00  CalcWindowMinSize(ImGuiWindow*)
  0.00      0.95     0.00     6045     0.00     0.00  ImGui::RenderFrame(ImVec2, ImVec2, unsigned int, bool, float)
  0.00      0.95     0.00     5987     0.00     0.00  stbtt_setvertex(stbtt_vertex*, unsigned char, int, int, int, int)
  0.00      0.95     0.00     5463     0.00     0.00  ImGui::RenderText(ImVec2, char const*, char const*, bool)
  0.00      0.95     0.00     5113     0.00     0.00  ImVector<ImDrawCmd>::operator[](int) const
  0.00      0.95     0.00     5098     0.00     0.00  ImDrawCmd::GetTexID() const
  0.00      0.95     0.00     4657     0.00     0.00  ImDrawList::AddDrawCmd()
  0.00      0.95     0.00     4445     0.00     0.00  ImRect::GetHeight() const
  0.00      0.95     0.00     4438     0.00     0.00  ImDrawList::AddConvexPolyFilled(ImVec2 const*, int, unsigned int)
  0.00      0.95     0.00     4401     0.00     0.00  SetCurrentWindow(ImGuiWindow*)
  0.00      0.95     0.00     4323     0.00     0.00  ImGui::SliderBehavior(ImRect const&, unsigned int, int, void*, void const*, void const*, char const*, int, ImRect*)
  0.00      0.95     0.00     4321     0.00     0.00  ImDrawList::PushClipRect(ImVec2 const&, ImVec2 const&, bool)
  0.00      0.95     0.00     4308     0.00     0.00  ImVector<ImVec4>::push_back(ImVec4 const&)
  0.00      0.95     0.00     4297     0.00     0.00  CalcWindowSizeAfterConstraint(ImGuiWindow*, ImVec2 const&)
  0.00      0.95     0.00     4281     0.00     0.00  ImGui::PushClipRect(ImVec2 const&, ImVec2 const&, bool)
  0.00      0.95     0.00     4265     0.00     0.00  ImGui::GetMainViewport()
  0.00      0.95     0.00     4240     0.00     0.00  ImDrawList::PathFillConvex(unsigned int)
  0.00      0.95     0.00     4209     0.00     0.00  ImGui::GetFrameHeight()
  0.00      0.95     0.00     4203     0.00     0.00  ImGuiWindow::TitleBarRect() const
  0.00      0.95     0.00     4183     0.00     0.00  ImGui::DataTypeFormatString(char*, int, int, void const*, char const*)
  0.00      0.95     0.00     4158     0.00     0.00  ImGui::SliderFloat(char const*, float*, float, float, char const*, int)
  0.00      0.95     0.00     4121     0.00     0.00  float ImLerp<float>(float, float, float)
  0.00      0.95     0.00     4120     0.00     0.00  float ImGui::ScaleRatioFromValueT<float, float, float>(int, float, float, float, bool, float, float)
  0.00      0.95     0.00     4106     0.00     0.00  ImVector<float>::resize(int)
  0.00      0.95     0.00     4099     0.00     0.00  ImRect::GetWidth() const
  0.00      0.95     0.00     4055     0.00     0.00  ImGui::NavUpdateCurrentWindowIsScrollPushableX()
  0.00      0.95     0.00     4053     0.00     0.00  ImGui::TempInputIsActive(unsigned int)
  0.00      0.95     0.00     4027     0.00     0.00  float ImMin<float>(float, float)
  0.00      0.95     0.00     3925     0.00     0.00  ImGui::RenderArrow(ImDrawList*, ImVec2, unsigned int, int, float)
  0.00      0.95     0.00     3881     0.00     0.00  ImGuiNextWindowData::ClearFlags()
  0.00      0.95     0.00     3849     0.00     0.00  float ImClamp<float>(float, float, float)
  0.00      0.95     0.00     3825     0.00     0.00  ImDrawList::AddTriangleFilled(ImVec2 const&, ImVec2 const&, ImVec2 const&, unsigned int)
  0.00      0.95     0.00     3809     0.00     0.00  ImFormatString(char*, unsigned long, char const*, ...)
  0.00      0.95     0.00     3800     0.00     0.00  ImGui::GetKeyData(ImGuiKey)
  0.00      0.95     0.00     3793     0.00     0.00  ImGui::GetKeyData(ImGuiContext*, ImGuiKey)
  0.00      0.95     0.00     3730     0.00     0.00  ImGui::SliderScalar(char const*, int, void*, void const*, void const*, char const*, int)
  0.00      0.95     0.00     3651     0.00     0.00  ImGui::IsLegacyKey(ImGuiKey)
  0.00      0.95     0.00     3061     0.00     0.00  operator-(ImVec2 const&, ImVec2 const&)
  0.00      0.95     0.00     2982     0.00     0.00  stb_decompress_token(unsigned char const*)
  0.00      0.95     0.00     2936     0.00     0.00  ImVector<ImGuiWindow*>::resize(int)
  0.00      0.95     0.00     2851     0.00     0.00  ImVector<ImGuiWindow*>::end()
  0.00      0.95     0.00     2843     0.00     0.00  ImVector<ImGuiWindow*>::begin()
  0.00      0.95     0.00     2735     0.00     0.00  ImGui::GetIO()
  0.00      0.95     0.00     2721     0.00     0.00  ImGuiWindow::Rect() const
  0.00      0.95     0.00     2669     0.00     0.00  ImVector<ImDrawList*>::operator[](int)
  0.00      0.95     0.00     2666     0.00     0.00  ImGui::IsItemActive()
  0.00      0.95     0.00     2580     0.00     0.00  ImGui::CollapseButton(unsigned int, ImVec2 const&)
  0.00      0.95     0.00     2525     0.00     0.00  ImGui::RenderWindowOuterBorders(ImGuiWindow*)
  0.00      0.95     0.00     2436     0.00     0.00  ttSHORT(unsigned char*)
  0.00      0.95     0.00     2435     0.00     0.00  ImDrawList::PathStroke(unsigned int, int, float)
  0.00      0.95     0.00     2394     0.00     0.00  ImVector<ImGuiStorage::ImGuiStoragePair>::end() const
  0.00      0.95     0.00     2386     0.00     0.00  UpdateWindowInFocusOrderList(ImGuiWindow*, bool, int)
  0.00      0.95     0.00     2379     0.00     0.00  ImGui::FindWindowByID(unsigned int)
  0.00      0.95     0.00     2359     0.00     0.00  ImGui::RenderFrameBorder(ImVec2, ImVec2, float)
  0.00      0.95     0.00     2341     0.00     0.00  stbtt__hheap_free(stbtt__hheap*, void*)
